RowNum,StartTime,EndTime,ViewsGained,FollowersGained,MaxViewers,AverageViewers,FollowersPerHour,ViewsPerHour,LengthMinutes,GamesPlayed
146,2017-01-16 23:15:00.000,2017-01-17 02:15:00.000,14836,158,9526,8204,12.15,1141.23,195,The Binding of Isaac: Afterbirth|Disc Jam|The Jackbox Party Pack 3
147,2017-01-15 22:30:00.000,2017-01-16 00:30:00.000,12321,71,3965,3650,6.45,1120.09,165,The Witcher 3: Wild Hunt
148,2017-01-15 21:15:00.000,2017-01-15 22:00:00.000,10369,30,3761,3161,4.29,1481.29,105,The Witcher 3: Wild Hunt
149,2017-01-12 23:15:00.000,2017-01-13 02:15:00.000,11611,108,7856,7193,8.31,893.15,195,The Binding of Isaac: Afterbirth|Dead by Daylight|The Jackbox Party Pack 3
150,2017-01-11 22:15:00.000,2017-01-12 01:30:00.000,11000,106,8179,6963,7.57,785.71,210,The Binding of Isaac: Afterbirth|Disc Jam|Gang Beasts
151,2017-01-09 23:15:00.000,2017-01-10 02:00:00.000,9391,119,9229,7986,9.92,782.58,180,The Binding of Isaac: Afterbirth|Disc Jam|London 2012 - The Official Video Game of the Olympic Games
152,2017-01-08 21:30:00.000,2017-01-09 00:30:00.000,12764,129,4963,4648,9.92,981.85,195,The Witcher 3: Wild Hunt
153,2017-01-05 23:15:00.000,2017-01-06 02:15:00.000,8497,117,9190,7994,9.00,653.62,195,The Binding of Isaac: Afterbirth|Gang Beasts|The Jackbox Party Pack 3
154,2017-01-04 22:15:00.000,2017-01-05 01:00:00.000,17681,172,9636,7779,14.33,1473.42,180,The Binding of Isaac: Afterbirth|Redout|Pictionary
155,2017-01-04 00:30:00.000,2017-01-04 04:30:00.000,34987,1581,17249,14806,93.00,2058.06,255,The Binding of Isaac: Afterbirth
156,2017-01-02 23:15:00.000,2017-01-03 02:15:00.000,12236,118,8869,7483,9.08,941.23,195,The Binding of Isaac: Rebirth|Space Beast Terror Fright|Duck Game
157,2017-01-01 21:15:00.000,2017-01-02 00:30:00.000,12084,290,7937,6316,20.71,863.14,210,The Binding of Isaac: Rebirth
158,2016-12-29 23:15:00.000,2016-12-30 02:15:00.000,8856,120,7418,6714,9.23,681.23,195,The Binding of Isaac: Rebirth|Hearthstone|Ultimate Chicken Horse|The Jackbox Party Pack 3
159,2016-12-28 22:15:00.000,2016-12-29 01:00:00.000,8027,68,7545,6668,5.67,668.92,180,The Binding of Isaac: Rebirth|The Jackbox Party Pack 3|Pictionary
160,2016-12-26 23:15:00.000,2016-12-27 02:15:00.000,7584,100,7737,6746,7.69,583.38,195,The Binding of Isaac: Rebirth
161,2016-12-25 21:30:00.000,2016-12-26 00:15:00.000,7001,131,6298,4912,10.92,583.42,180,The Binding of Isaac: Rebirth
162,2016-12-22 23:15:00.000,2016-12-23 02:30:00.000,16048,87,7366,5537,6.21,1146.29,210,GeoGuessr|The Binding of Isaac: Afterbirth|Gang Beasts|H1Z1: King of the Kill
163,2016-12-21 22:30:00.000,2016-12-22 01:15:00.000,12651,179,8017,7318,14.92,1054.25,180,The Binding of Isaac: Rebirth|Friday the 13th: The Game
164,2016-12-19 23:15:00.000,2016-12-20 02:30:00.000,8928,100,6719,5713,7.14,637.71,210,Ultimate Chicken Horse|Astroneer|H1Z1: King of the Kill
165,2016-12-18 21:15:00.000,2016-12-19 00:00:00.000,4816,28,4103,3459,2.33,401.33,180,HITMAN|Hearthstone
166,2016-12-15 23:15:00.000,2016-12-16 02:00:00.000,10099,33,6108,5404,2.75,841.58,180,Ultimate Chicken Horse|H1Z1: King of the Kill|The Jackbox Party Pack 3
167,2016-12-14 23:15:00.000,2016-12-15 02:15:00.000,10016,119,6451,5519,9.15,770.46,195,The Binding of Isaac: Afterbirth|Gang Beasts|Dead by Daylight
168,2016-12-12 23:00:00.000,2016-12-13 02:15:00.000,7932,52,6339,5303,3.71,566.57,210,Tricky Towers|Ultimate Chicken Horse|Duck Game
169,2016-12-11 21:30:00.000,2016-12-12 00:15:00.000,4488,52,4149,3700,4.33,374.00,180,HITMAN
170,2016-12-08 23:15:00.000,2016-12-09 02:15:00.000,7183,32,5990,5379,2.46,552.54,195,Ultimate Chicken Horse
171,2016-12-07 22:15:00.000,2016-12-08 01:00:00.000,9167,62,6118,5192,5.17,763.92,180,The Binding of Isaac: Afterbirth|Tricky Towers|London 2012 - The Official Video Game of the Olympic Games
172,2016-12-06 23:15:00.000,2016-12-07 02:00:00.000,11984,72,9752,5748,6.00,998.67,180,Ultimate Chicken Horse|Move or Die|The Jackbox Party Pack 3
173,2016-12-05 23:15:00.000,2016-12-06 02:15:00.000,13792,59,6291,5425,4.54,1060.92,195,Ultimate Chicken Horse|Bombernauts|Golf With Your Friends
174,2016-12-04 21:15:00.000,2016-12-05 00:15:00.000,7139,48,5549,4398,3.69,549.15,195,HITMAN|Hearthstone
175,2016-12-02 22:15:00.000,2016-12-03 04:45:00.000,18012,105,5952,4088,3.89,667.11,405,Talk Shows
176,2016-12-02 21:30:00.000,2016-12-02 21:30:00.000,0,0,702,702,0.00,0.00,15,Duck Game
177,2016-12-01 23:45:00.000,2016-12-01 23:45:00.000,0,0,464,464,0.00,0.00,15,Duck Game
178,2016-11-30 21:15:00.000,2016-12-01 00:00:00.000,8142,54,5474,4406,4.50,678.50,180,Ultimate Chicken Horse|Gang Beasts|Duck Game
179,2016-11-28 23:15:00.000,2016-11-29 02:15:00.000,10462,44,6609,6025,3.38,804.77,195,Tricky Towers|Dead by Daylight|The Jackbox Party Pack 3
180,2016-11-27 21:15:00.000,2016-11-28 00:00:00.000,5554,40,4566,3891,3.33,462.83,180,HITMAN
181,2016-11-24 23:15:00.000,2016-11-25 02:00:00.000,5222,25,5159,4386,2.08,435.17,180,Ultimate Chicken Horse|London 2012 - The Official Video Game of the Olympic Games|Keep Talking and Nobody Explodes
182,2016-11-23 22:15:00.000,2016-11-24 01:15:00.000,6825,39,5598,4637,3.00,525.00,195,The Binding of Isaac: Afterbirth|The Jackbox Party Pack 3|Pictionary
183,2016-11-21 23:15:00.000,2016-11-22 02:15:00.000,10892,121,6910,5976,9.31,837.85,195,Ultimate Chicken Horse|Gang Beasts|Golf With Your Friends
184,2016-11-20 21:15:00.000,2016-11-21 00:00:00.000,3583,40,4134,3671,3.33,298.58,180,HITMAN
185,2016-11-17 23:15:00.000,2016-11-18 02:15:00.000,6187,25,5829,5263,1.92,475.92,195,Ultimate Chicken Horse|Runbow|The Jackbox Party Pack 3
186,2016-11-16 22:15:00.000,2016-11-17 01:15:00.000,9263,68,5631,4865,5.23,712.54,195,The Binding of Isaac: Afterbirth|Worms W.M.D|Golf With Your Friends
187,2016-11-14 23:15:00.000,2016-11-15 02:00:00.000,10333,49,7472,5955,4.08,861.08,180,Ultimate Chicken Horse|Quiplash|Rocket League
188,2016-11-13 21:15:00.000,2016-11-14 00:00:00.000,6177,71,4811,4159,5.92,514.75,180,HITMAN
189,2016-11-10 23:15:00.000,2016-11-11 02:15:00.000,8787,64,6059,5388,4.92,675.92,195,Ultimate Chicken Horse|The Culling|Pictionary
190,2016-11-09 22:15:00.000,2016-11-10 01:15:00.000,16664,78,6825,6090,6.00,1281.85,195,Ultimate Chicken Horse|London 2012 - The Official Video Game of the Olympic Games|Quiplash
191,2016-11-07 23:15:00.000,2016-11-08 02:00:00.000,5980,40,6676,5620,3.33,498.33,180,Ultimate Chicken Horse|Gang Beasts|Duck Game
192,2016-11-06 21:15:00.000,2016-11-07 00:15:00.000,6728,49,4657,4030,3.77,517.54,195,HITMAN
193,2016-11-03 22:15:00.000,2016-11-04 01:30:00.000,7300,32,6035,5453,2.29,521.43,210,Ultimate Chicken Horse|Goofball Goals|Gang Beasts
194,2016-11-02 21:45:00.000,2016-11-03 00:15:00.000,5674,55,7430,6433,5.00,515.82,165,The Binding of Isaac: Afterbirth|SpeedRunners|The Jackbox Party Pack 3
195,2016-10-31 22:15:00.000,2016-11-01 01:00:00.000,8185,40,5680,4749,3.33,682.08,180,Ultimate Chicken Horse|Golf With Your Friends|The Culling
196,2016-10-30 20:15:00.000,2016-10-30 23:45:00.000,6710,41,4008,3361,2.73,447.33,225,BioShock|Hearthstone
197,2016-10-27 22:15:00.000,2016-10-28 01:15:00.000,6161,38,5829,5144,2.92,473.92,195,The Binding of Isaac: Afterbirth|Tricky Towers|London 2012 - The Official Video Game of the Olympic Games
198,2016-10-26 21:15:00.000,2016-10-27 00:00:00.000,7945,50,6448,5460,4.17,662.08,180,Ultimate Chicken Horse|The Jackbox Party Pack 3
199,2016-10-24 22:15:00.000,2016-10-25 01:00:00.000,6637,48,6611,5916,4.00,553.08,180,Ultimate Chicken Horse|Who's Your Daddy|The Jackbox Party Pack 3|Keep Talking and Nobody Explodes
200,2016-10-23 20:15:00.000,2016-10-23 23:30:00.000,4293,48,3688,3158,3.43,306.64,210,Grand Theft Auto V
201,2016-10-20 22:15:00.000,2016-10-21 01:15:00.000,8468,58,6751,5611,4.46,651.38,195,The Binding of Isaac: Afterbirth|The Jackbox Party Pack 3
202,2016-10-19 21:15:00.000,2016-10-20 00:15:00.000,8711,50,6492,4877,3.85,670.08,195,Ultimate Chicken Horse|The Jackbox Party Pack 3
203,2016-10-18 20:15:00.000,2016-10-18 23:15:00.000,3713,26,2779,2310,2.00,285.62,195,Grand Theft Auto V
204,2016-10-17 22:15:00.000,2016-10-18 01:15:00.000,8313,94,7224,6386,7.23,639.46,195,Ultimate Chicken Horse|The Jackbox Party Pack 3
205,2016-10-13 18:15:00.000,2016-10-13 21:15:00.000,4766,25,3819,3377,1.92,366.62,195,The Binding of Isaac: Afterbirth|SpyParty|Worms W.M.D
206,2016-10-12 21:15:00.000,2016-10-13 00:15:00.000,5776,27,4546,4033,2.08,444.31,195,Ultimate Chicken Horse|Brawlhalla|Pictionary|Quiplash
207,2016-10-10 22:15:00.000,2016-10-11 01:15:00.000,8049,78,5710,5144,6.00,619.15,195,Shadow Warrior 2|Golf With Your Friends|Ultimate Chicken Horse
208,2016-10-09 20:15:00.000,2016-10-09 23:30:00.000,4484,40,3220,2905,2.86,320.29,210,Grand Theft Auto V
209,2016-10-06 22:15:00.000,2016-10-07 01:15:00.000,7618,36,5344,4478,2.77,586.00,195,Ultimate Chicken Horse|London 2012 - The Official Video Game of the Olympic Games|Pictionary
210,2016-10-05 21:15:00.000,2016-10-06 00:00:00.000,6791,36,5940,5189,3.00,565.92,180,Tricky Towers|Ultimate Chicken Horse|Quiplash
211,2016-10-03 22:15:00.000,2016-10-04 01:15:00.000,6637,52,5805,5315,4.00,510.54,195,The Binding of Isaac: Afterbirth|Viking Squad|Ultimate Chicken Horse
212,2016-10-02 20:15:00.000,2016-10-02 23:15:00.000,5338,63,3923,3470,4.85,410.62,195,Grand Theft Auto V
213,2016-09-29 22:15:00.000,2016-09-30 01:00:00.000,6481,80,6388,5277,6.67,540.08,180,Ultimate Chicken Horse|Tricky Towers|ShellShock Live
214,2016-09-28 21:15:00.000,2016-09-28 23:45:00.000,5040,35,5284,4692,3.18,458.18,165,The Binding of Isaac: Afterbirth|Duck Game|Pictionary|Golf With Your Friends
215,2016-09-26 22:00:00.000,2016-09-27 01:00:00.000,5823,38,6164,5152,2.92,447.92,195,The Binding of Isaac: Afterbirth|Ultimate Chicken Horse|Tricky Towers
216,2016-09-25 20:15:00.000,2016-09-25 23:15:00.000,6456,72,3666,3322,5.54,496.62,195,Grand Theft Auto V
217,2016-09-22 22:15:00.000,2016-09-23 01:15:00.000,8079,60,5108,4597,4.62,621.46,195,The Binding of Isaac: Afterbirth|Golf With Your Friends|Quiplash
218,2016-09-12 22:15:00.000,2016-09-13 01:30:00.000,9174,50,6290,5323,3.57,655.29,210,The Binding of Isaac: Afterbirth|London 2012 - The Official Video Game of the Olympic Games|Pictionary
219,2016-09-12 02:30:00.000,2016-09-12 04:30:00.000,1757,27,2156,1747,3.00,195.22,135,Grand Theft Auto V
220,2016-09-11 20:15:00.000,2016-09-11 23:00:00.000,4288,28,4239,3761,2.33,357.33,180,Grand Theft Auto V
221,2016-09-11 02:30:00.000,2016-09-11 03:30:00.000,8226,19,3789,2947,2.71,1175.14,105,Rocket League
222,2016-09-11 01:15:00.000,2016-09-11 02:00:00.000,2808,24,3789,3364,3.43,401.14,105,The Binding of Isaac: Afterbirth
223,2016-09-08 22:15:00.000,2016-09-09 01:00:00.000,5396,30,5523,4966,2.50,449.67,180,The Binding of Isaac: Afterbirth|Dead by Daylight|Rocket League
224,2016-09-07 21:15:00.000,2016-09-08 00:30:00.000,8525,45,6564,5522,3.21,608.93,210,GeoGuessr|Quiplash|Golf With Your Friends
225,2016-08-31 21:15:00.000,2016-09-01 00:30:00.000,9607,79,5846,5180,5.64,686.21,210,The Binding of Isaac: Afterbirth|Worms W.M.D|Pictionary
226,2016-08-29 22:15:00.000,2016-08-30 01:15:00.000,11142,90,6206,5747,6.92,857.08,195,Half Dead|WWE 2K16|London 2012 - The Official Video Game of the Olympic Games
227,2016-08-28 20:15:00.000,2016-08-28 23:00:00.000,4549,56,4327,3926,4.67,379.08,180,Grand Theft Auto V
228,2016-08-25 22:15:00.000,2016-08-26 01:15:00.000,6431,53,6107,5544,4.08,494.69,195,The Binding of Isaac: Afterbirth|GoldenEye: Source|Quiplash
229,2016-08-24 21:15:00.000,2016-08-25 00:15:00.000,10846,210,6863,5923,16.15,834.31,195,GeoGuessr|Monsters &amp; Monocles|London 2012 - The Official Video Game of the Olympic Games
230,2016-08-22 22:15:00.000,2016-08-23 01:00:00.000,6387,31,6363,5737,2.58,532.25,180,The Binding of Isaac: Afterbirth|GeoGuessr|Quiplash
231,2016-08-21 20:15:00.000,2016-08-21 23:30:00.000,6929,86,4960,4109,6.14,494.93,210,Grand Theft Auto V
232,2016-08-18 22:15:00.000,2016-08-19 01:30:00.000,7955,82,6498,5812,5.86,568.21,210,The Binding of Isaac: Afterbirth|Worms|London 2012 - The Official Video Game of the Olympic Games
233,2016-08-17 21:15:00.000,2016-08-18 00:30:00.000,8999,100,6218,5319,7.14,642.79,210,The Binding of Isaac: Afterbirth|Death Stair|Pictionary
234,2016-08-16 21:15:00.000,2016-08-17 00:00:00.000,6528,29,2870,2478,2.42,544.00,180,Dishonored|Soccer
235,2016-08-15 22:15:00.000,2016-08-16 01:15:00.000,10634,78,5961,5342,6.00,818.00,195,The Binding of Isaac: Afterbirth|Dead by Daylight|Golf With Your Friends
236,2016-08-10 21:15:00.000,2016-08-11 00:15:00.000,9451,72,5923,5238,5.54,727.00,195,The Binding of Isaac: Afterbirth|Worms
237,2016-08-08 22:15:00.000,2016-08-09 01:00:00.000,6737,77,7724,6754,6.42,561.42,180,The Binding of Isaac: Afterbirth|London 2012 - The Official Video Game of the Olympic Games
238,2016-08-07 20:15:00.000,2016-08-07 23:00:00.000,4211,33,3164,2673,2.75,350.92,180,Dishonored
239,2016-08-04 22:15:00.000,2016-08-05 01:15:00.000,6861,86,7324,6523,6.62,527.77,195,The Binding of Isaac: Afterbirth|Quiplash|London 2012 - The Official Video Game of the Olympic Games
240,2016-08-03 21:15:00.000,2016-08-04 00:15:00.000,14239,79,5715,4640,6.08,1095.31,195,The Binding of Isaac: Afterbirth|Dead by Daylight|Pictionary
241,2016-08-01 22:15:00.000,2016-08-02 01:00:00.000,7901,54,7291,6318,4.50,658.42,180,The Binding of Isaac: Afterbirth|Who's Your Daddy|London 2012 - The Official Video Game of the Olympic Games
242,2016-07-31 20:15:00.000,2016-07-31 23:00:00.000,4370,24,3272,2991,2.00,364.17,180,Dishonored
243,2016-07-29 21:15:00.000,2016-07-29 21:30:00.000,2066,22,1946,1694,11.00,1033.00,30,SUPERFIGHT
244,2016-07-28 22:15:00.000,2016-07-29 01:15:00.000,10519,105,6262,5672,8.08,809.15,195,The Binding of Isaac: Afterbirth|WWE 2K16|London 2012 - The Official Video Game of the Olympic Games
245,2016-07-27 21:15:00.000,2016-07-28 00:15:00.000,9506,48,6254,4836,3.69,731.23,195,The Binding of Isaac: Afterbirth|London 2012 - The Official Video Game of the Olympic Games|The Culling
246,2016-07-26 20:15:00.000,2016-07-27 00:15:00.000,8639,41,3224,2682,2.41,508.18,255,The Binding of Isaac: Afterbirth|Duelyst
247,2016-07-25 22:15:00.000,2016-07-26 01:00:00.000,6939,54,6624,5508,4.50,578.25,180,GeoGuessr|RimWorld|Quadrilateral Cowboy
248,2016-07-24 20:15:00.000,2016-07-24 23:45:00.000,5451,42,3145,2694,2.80,363.40,225,The Elder Scrolls V: Skyrim|Videoball
249,2016-07-21 22:15:00.000,2016-07-22 01:00:00.000,8662,40,5855,5017,3.33,721.83,180,The Binding of Isaac: Afterbirth|Evolve|Videoball
250,2016-07-20 21:15:00.000,2016-07-21 00:15:00.000,8289,67,5466,4985,5.15,637.62,195,The Binding of Isaac: Afterbirth|Brawlhalla|Pictionary
251,2016-07-18 22:15:00.000,2016-07-19 01:15:00.000,10016,78,6977,5863,6.00,770.46,195,The Binding of Isaac: Afterbirth|WWE 2K16|Golf With Your Friends
252,2016-07-17 20:15:00.000,2016-07-17 23:15:00.000,6192,69,3353,2869,5.31,476.31,195,The Elder Scrolls V: Skyrim
253,2016-07-14 22:15:00.000,2016-07-15 01:00:00.000,6658,43,6147,5412,3.58,554.83,180,The Binding of Isaac: Afterbirth|WWE 2K16|Videoball
254,2016-07-13 21:15:00.000,2016-07-14 00:00:00.000,9652,70,5806,5117,5.83,804.33,180,The Binding of Isaac: Afterbirth|Worms Revolution|Videoball
255,2016-07-11 22:15:00.000,2016-07-12 01:30:00.000,13946,74,6564,5610,5.29,996.14,210,The Binding of Isaac: Afterbirth|Necropolis|Pictionary
256,2016-07-10 20:00:00.000,2016-07-10 23:15:00.000,5416,100,3413,2790,7.14,386.86,210,The Elder Scrolls V: Skyrim
257,2016-07-07 22:15:00.000,2016-07-08 01:00:00.000,8077,76,5807,5129,6.33,673.08,180,The Binding of Isaac: Afterbirth|WWE 2K16
258,2016-07-06 21:15:00.000,2016-07-07 00:00:00.000,6864,60,5454,4817,5.00,572.00,180,The Binding of Isaac: Afterbirth|The Culling|Pictionary
259,2016-07-04 22:15:00.000,2016-07-05 01:15:00.000,9145,97,6125,5441,7.46,703.46,195,The Binding of Isaac: Afterbirth|WWE 2K16|Dead by Daylight
260,2016-07-03 20:15:00.000,2016-07-03 23:00:00.000,3886,48,2882,2555,4.00,323.83,180,The Elder Scrolls V: Skyrim
261,2016-06-30 22:15:00.000,2016-07-01 01:15:00.000,10426,129,6762,5089,9.92,802.00,195,The Binding of Isaac: Afterbirth|Quiplash|Overwatch
262,2016-06-29 21:15:00.000,2016-06-30 00:15:00.000,12537,66,5481,4781,5.08,964.38,195,The Binding of Isaac: Afterbirth|Duck Game|Pictionary
263,2016-06-27 22:15:00.000,2016-06-28 01:15:00.000,7537,68,6822,6011,5.23,579.77,195,The Binding of Isaac: Afterbirth|Gang Beasts|SUPERFIGHT|Golf With Your Friends
264,2016-06-26 20:15:00.000,2016-06-26 23:30:00.000,8173,106,3749,3074,7.57,583.79,210,The Elder Scrolls V: Skyrim
265,2016-06-23 22:15:00.000,2016-06-24 01:15:00.000,8181,60,6318,5453,4.62,629.31,195,The Binding of Isaac: Afterbirth|Dead by Daylight|Pictionary
266,2016-06-20 22:15:00.000,2016-06-21 01:15:00.000,7140,53,6881,6015,4.08,549.23,195,The Binding of Isaac: Afterbirth|Dead by Daylight|Drawful 2
267,2016-06-19 20:30:00.000,2016-06-19 23:00:00.000,3498,59,3807,3373,5.36,318.00,165,The Elder Scrolls V: Skyrim
268,2016-06-11 20:15:00.000,2016-06-11 22:00:00.000,2918,14,2060,1775,1.75,364.75,120,Space Run
269,2016-06-09 22:15:00.000,2016-06-10 01:00:00.000,6288,52,6656,5755,4.33,524.00,180,The Binding of Isaac: Afterbirth|Quiplash
270,2016-06-08 21:15:00.000,2016-06-09 00:00:00.000,9121,85,6957,5354,7.08,760.08,180,The Binding of Isaac: Afterbirth|Duck Game|Dead by Daylight
271,2016-06-06 22:15:00.000,2016-06-07 01:00:00.000,8288,53,6588,5941,4.42,690.67,180,The Binding of Isaac: Afterbirth|Golf With Your Friends|Family Feud|Who Wants To Be A Millionaire?
272,2016-06-05 20:15:00.000,2016-06-05 23:15:00.000,8685,72,3654,3033,5.54,668.08,195,ShellShock Live|The Elder Scrolls V: Skyrim
273,2016-06-02 22:15:00.000,2016-06-03 01:00:00.000,7902,48,5299,4815,4.00,658.50,180,The Binding of Isaac: Afterbirth|Goofball Goals|ShellShock Live
274,2016-06-01 21:15:00.000,2016-06-02 00:00:00.000,6164,38,5454,4862,3.17,513.67,180,Enter the Gungeon|The Binding of Isaac: Afterbirth|Table Top Racing: World Tour|Pictionary
275,2016-05-30 22:15:00.000,2016-05-31 01:30:00.000,11340,157,6811,5417,11.21,810.00,210,The Binding of Isaac: Afterbirth|Golf With Your Friends|Overwatch
276,2016-05-29 20:15:00.000,2016-05-29 23:00:00.000,4958,68,3603,3179,5.67,413.17,180,The Elder Scrolls V: Skyrim
277,2016-05-26 22:15:00.000,2016-05-27 01:00:00.000,9828,68,5543,4859,5.67,819.00,180,The Binding of Isaac: Afterbirth|Duck Game|Overwatch
278,2016-05-25 21:15:00.000,2016-05-26 00:15:00.000,9820,81,5429,4529,6.23,755.38,195,The Binding of Isaac: Afterbirth|Gang Beasts|Quiplash|Pictionary
279,2016-05-23 22:15:00.000,2016-05-24 01:15:00.000,10366,85,7068,5763,6.54,797.38,195,The Binding of Isaac: Afterbirth|Overwatch|The Culling
280,2016-05-22 20:15:00.000,2016-05-22 23:00:00.000,6036,47,3920,3487,3.92,503.00,180,The Elder Scrolls V: Skyrim
281,2016-05-19 22:15:00.000,2016-05-20 01:30:00.000,7761,59,5975,5357,4.21,554.36,210,GeoGuessr|The Culling|Gang Beasts
282,2016-05-18 21:15:00.000,2016-05-19 00:15:00.000,12214,123,7049,6418,9.46,939.54,195,GeoGuessr|The Culling|Gang Beasts
283,2016-05-16 22:15:00.000,2016-05-17 01:00:00.000,12003,151,7108,6227,12.58,1000.25,180,The Binding of Isaac: Afterbirth|Golf With Your Friends|Quiplash
284,2016-05-15 20:15:00.000,2016-05-15 23:00:00.000,4568,20,2640,2033,1.67,380.67,180,Mass Effect 2
285,2016-05-12 22:15:00.000,2016-05-13 01:00:00.000,9851,70,5950,5461,5.83,820.92,180,Enter the Gungeon|Rocket League|Golf With Your Friends
286,2016-05-11 21:15:00.000,2016-05-12 00:00:00.000,9820,105,6314,5317,8.75,818.33,180,The Binding of Isaac: Afterbirth|Gang Beasts|Pictionary
287,2016-05-09 22:15:00.000,2016-05-10 01:00:00.000,8121,65,5429,4842,5.42,676.75,180,Enter the Gungeon|The Culling|Overwatch
288,2016-05-08 20:15:00.000,2016-05-08 23:00:00.000,2849,4,1862,1644,0.33,237.42,180,Mass Effect 2
289,2016-05-05 22:15:00.000,2016-05-06 01:30:00.000,8801,114,6550,5636,8.14,628.64,210,The Binding of Isaac: Afterbirth|Gang Beasts
290,2016-05-04 21:15:00.000,2016-05-05 00:00:00.000,8309,53,5778,5134,4.42,692.42,180,Enter the Gungeon|Moonshot|The Culling
291,2016-05-03 20:45:00.000,2016-05-03 23:30:00.000,4511,24,1836,1555,2.00,375.92,180,Mass Effect 2
